Status,Population,State,City
active,"4,996",AL,Childersburg
active,"83,031",CA,Chino
active,"12,929",WI,Chippewa Falls
active,"4,594",MN,Chisholm
active,"11,354",OK,Choctaw
active,"4,882",NY,Chittenango
active,"73,879",CA,Chino Hills
active,"11,078",AZ,Chino Valley
active,"219,318",CA,Chula Vista
active,"19,477",VA,Christiansburg
active,"19,193",CA,Chowchilla
active,"11,828",ID,Chubbuck
active,"4,661",LA,Church Point
active,"6,765",TN,Church Hill
active,"14,555",TX,Cibolo
active,"4,451",IN,Cicero
active,"80,414",IL,Cicero
active,"333,336",OH,Cincinnati
active,"5,395",MN,Circle Pines
active,"13,681",OH,Circleville
active,"84,432",CA,Citrus Heights
active,"7,832",PA,Clairton
active,"8,836",AL,Clanton
active,"12,968",NH,Claremont
active,"35,470",CA,Claremont
active,"5,258",PA,Clarion
active,"17,458",OK,Claremore
active,"8,582",IL,Clarendon Hills
active,"5,493",IA,Clarinda
active,"4,964",PA,Clarks Summit
active,"16,441",WV,Clarksburg
active,"18,006",MS,Clarksdale
active,"7,207",WA,Clarkston
active,"7,836",GA,Clarkston
active,"119,735",TN,Clarksville
active,"21,873",IN,Clarksville
active,"8,579",AR,Clarksville
active,"12,157",MI,Clawson
active,"8,308",AL,Clay
active,"4,442",KS,Clay Center
active,"7,553",NJ,Clayton
active,"15,841",NC,Clayton
active,"12,906",OH,Clayton
active,"16,088",MO,Clayton
active,"11,278",CA,Clayton
active,"7,820",IA,Clear Lake
active,"27,851",UT,Clearfield
active,"15,040",CA,Clearlake
active,"6,173",PA,Clearfield
active,"105,774",FL,Clearwater
active,"4,886",NJ,Clementon
active,"29,889",TX,Cleburne
active,"17,234",NC,Clemmons
active,"13,012",SC,Clemson
active,"13,100",FL,Clermont
active,"7,960",TX,Cleveland
active,"39,753",TN,Cleveland
active,"12,218",MS,Cleveland
active,"433,748",OH,Cleveland
active,"45,827",OH,Cleveland Heights
active,"7,167",FL,Clewiston
active,"22,863",NJ,Cliffside Park
active,"78,219",NJ,Clifton
active,"19,855",UT,Clinton
active,"9,625",TN,Clinton
active,"8,892",SC,Clinton
active,"6,541",PA,Clifton Heights
active,"8,768",OK,Clinton
active,"8,868",NC,Clinton
active,"26,313",MS,Clinton
active,"9,381",MO,Clinton
active,"7,154",IL,Clinton
active,"4,799",IN,Clinton
active,"26,407",IA,Clinton
active,"15,234",IA,Clive
active,"11,387",MN,Cloquet
active,"8,659",NJ,Closter
active,"4,916",SC,Clover
active,"92,318",CA,Clovis
active,"32,352",NM,Clovis
active,"8,153",CA,Cloverdale
active,"6,121",OH,Clyde
active,"10,765",TX,Clute
active,"5,729",IL,Coal City
active,"11,624",PA,Coatesville
active,"39,391",CA,Coachella
active,"18,974",CA,Coalinga
active,"4,593",NY,Cobleskill
active,"5,211",GA,Cochran
active,"16,478",FL,Cocoa
active,"50,436",FL,Coconut Creek
active,"9,309",WY,Cody
active,"11,920",FL,Cocoa Beach
active,"43,360",ID,Coeur d'Alene
